cluster	clones	node	is_tip	full_cluster
75	PE-2a;PE-2c;UIR1b;UIR3a;UIR3b;UIR27a;UIR27c	66	FALSE	264
76	FT-858a;FT-858c;UIR3c;UIR9b;UIR17a;UIR17c;UIR27b;UIR167c	50	FALSE	255
77	IRA-Da;UIR47c;UIR57a;UIR109a;UIR109b;UIR217c;UIR227b;UIR227c	76	FALSE	260
78	PE-2a;PE-2c;UIR1b;UIR3a;UIR3b;UIR27a;UIR27c;UIR167b	65	FALSE	269
79	FT-858a;FT-858b;FT-858c;UIR3c;UIR9b;UIR17a;UIR17c;UIR27b;UIR167c	49	FALSE	258
80	FT-858a;FT-858b;FT-858c;UIR3c;UIR7a;UIR9b;UIR17a;UIR17c;UIR27b;UIR167c	48	FALSE	259
81	PE-2a;PE-2c;UIR1b;UIR3a;UIR3b;UIR17b;UIR27a;UIR27c;UIR57c;UIR167b	63	FALSE	272
82	IRA-Da;IRA-Db;UIR47c;UIR57a;UIR109a;UIR109b;UIR217c;UIR217d;UIR227a;UIR227b;UIR227c	73	FALSE	273
83	IRA-Da;IRA-Db;UIR47c;UIR57a;UIR57b;UIR109a;UIR109b;UIR217c;UIR217d;UIR227a;UIR227b;UIR227c	72	FALSE	275
84	PE-2a;PE-2b;PE-2c;UIR1a;UIR1b;UIR3a;UIR3b;UIR9a;UIR9c;UIR17b;UIR27a;UIR27c;UIR47a;UIR57c;UIR167a;UIR167b	57	FALSE	281
85	FT-858a;FT-858b;FT-858c;PE-2a;PE-2b;PE-2c;UIR1a;UIR1b;UIR3a;UIR3b;UIR3c;UIR7a;UIR9a;UIR9b;UIR9c;UIR17a;UIR17b;UIR17c;UIR27a;UIR27b;UIR27c;UIR47a;UIR57c;UIR167a;UIR167b;UIR167c	47	FALSE	283
86	FT-858a;FT-858b;FT-858c;IRA-Da;IRA-Db;PE-2a;PE-2b;PE-2c;UIR1a;UIR1b;UIR3a;UIR3b;UIR3c;UIR7a;UIR9a;UIR9b;UIR9c;UIR17a;UIR17b;UIR17c;UIR27a;UIR27b;UIR27c;UIR47a;UIR47c;UIR57a;UIR57b;UIR57c;UIR109a;UIR109b;UIR167a;UIR167b;UIR167c;UIR217c;UIR217d;UIR227a;UIR227b;UIR227c	46	FALSE	284
87	FT-858a;FT-858b;FT-858c;IRA-Da;IRA-Db;PE-2a;PE-2b;PE-2c;SA-1a;SA-1b;SA-1c;UIR1a;UIR1b;UIR1c;UIR3a;UIR3b;UIR3c;UIR7a;UIR7b;UIR9a;UIR9b;UIR9c;UIR17a;UIR17b;UIR17c;UIR27a;UIR27b;UIR27c;UIR47a;UIR47b;UIR47c;UIR57a;UIR57b;UIR57c;UIR109a;UIR109b;UIR167a;UIR167b;UIR167c;UIR217c;UIR217d;UIR227a;UIR227b;UIR227c	45	FALSE	288
