cluster	clones	node	is_tip	full_cluster
1	PE-2a	2	TRUE	6
2	PE-2b	1	TRUE	7
3	PE-2c	3	TRUE	8
4	UCP1a_2019	34	TRUE	13
5	UCP1b_2019	27	TRUE	15
6	UCP1c_2019	22	TRUE	17
7	UCP5a_2019	30	TRUE	18
8	UCP5b_2019	20	TRUE	19
9	UCP5c_2019	21	TRUE	20
10	UCP13a_2019	32	TRUE	26
11	UCP13b_2019	23	TRUE	27
12	UCP13c_2019	26	TRUE	28
13	UCP28a_2019	5	TRUE	32
14	UCP28b_2019	4	TRUE	33
15	UCP40a_2019	29	TRUE	34
16	UCP40b_2019	31	TRUE	35
17	UCP54a_2019	24	TRUE	39
18	UCP54b_2019	28	TRUE	40
19	UCP67a_2019	25	TRUE	44
20	UCP81a_2019	19	TRUE	48
21	UCP81b_2019	33	TRUE	49
22	UCP95a_2019	17	TRUE	53
23	UCP95b_2019	18	TRUE	54
24	UCP109a_2019	9	TRUE	56
25	UCP109b_2019	15	TRUE	58
26	UCP137a_2019	14	TRUE	60
27	UCP137b_2019	11	TRUE	61
28	UCP151a_2019	16	TRUE	65
29	UCP151b_2019	6	TRUE	66
30	UCP172a_2019	12	TRUE	70
31	UCP172b_2019	7	TRUE	71
32	UCP184a_2019	13	TRUE	72
33	UCP184b_2019	8	TRUE	73
34	UCP184c_2019	10	TRUE	74
35	PE-2a;PE-2c	38	FALSE	264
36	UCP1a_2019;UCP81b_2019	67	FALSE	151
37	UCP1b_2019;UCP13c_2019	62	FALSE	153
38	UCP1c_2019;UCP13b_2019	60	FALSE	154
39	UCP13a_2019;UCP40b_2019	66	FALSE	158
40	UCP28a_2019;UCP28b_2019	41	FALSE	160
41	UCP54a_2019;UCP67a_2019	61	FALSE	163
42	UCP95a_2019;UCP151a_2019	52	FALSE	165
43	UCP109a_2019;UCP184b_2019	45	FALSE	240
44	UCP137b_2019;UCP184c_2019	47	FALSE	169
45	UCP172a_2019;UCP184a_2019	50	FALSE	171
46	PE-2a;PE-2b;PE-2c	37	FALSE	281
47	UCP1c_2019;UCP5c_2019;UCP13b_2019	59	FALSE	196
48	UCP5a_2019;UCP13a_2019;UCP40b_2019	65	FALSE	197
49	UCP95a_2019;UCP95b_2019;UCP151a_2019	51	FALSE	228
50	UCP109a_2019;UCP172b_2019;UCP184b_2019	44	FALSE	253
51	UCP137a_2019;UCP172a_2019;UCP184a_2019	49	FALSE	203
52	UCP1c_2019;UCP5b_2019;UCP5c_2019;UCP13b_2019	58	FALSE	213
53	UCP109b_2019;UCP137a_2019;UCP172a_2019;UCP184a_2019	48	FALSE	229
