cluster	clones	node	is_tip	full_cluster
54	UCP1a_2019;UCP5a_2019;UCP13a_2019;UCP40b_2019;UCP81b_2019	64	FALSE	226
55	UCP1a_2019;UCP5a_2019;UCP13a_2019;UCP40a_2019;UCP40b_2019;UCP81b_2019	63	FALSE	233
56	UCP1c_2019;UCP5b_2019;UCP5c_2019;UCP13b_2019;UCP54a_2019;UCP67a_2019	57	FALSE	235
57	UCP109b_2019;UCP137a_2019;UCP137b_2019;UCP172a_2019;UCP184a_2019;UCP184c_2019	46	FALSE	241
58	UCP1b_2019;UCP1c_2019;UCP5b_2019;UCP5c_2019;UCP13b_2019;UCP13c_2019;UCP54a_2019;UCP67a_2019	56	FALSE	245
59	UCP1b_2019;UCP1c_2019;UCP5b_2019;UCP5c_2019;UCP13b_2019;UCP13c_2019;UCP54a_2019;UCP67a_2019;UCP81a_2019	55	FALSE	248
60	UCP109a_2019;UCP109b_2019;UCP137a_2019;UCP137b_2019;UCP172a_2019;UCP172b_2019;UCP184a_2019;UCP184b_2019;UCP184c_2019	43	FALSE	265
61	UCP1b_2019;UCP1c_2019;UCP5b_2019;UCP5c_2019;UCP13b_2019;UCP13c_2019;UCP54a_2019;UCP54b_2019;UCP67a_2019;UCP81a_2019	54	FALSE	251
62	UCP109a_2019;UCP109b_2019;UCP137a_2019;UCP137b_2019;UCP151b_2019;UCP172a_2019;UCP172b_2019;UCP184a_2019;UCP184b_2019;UCP184c_2019	42	FALSE	267
63	UCP28a_2019;UCP28b_2019;UCP109a_2019;UCP109b_2019;UCP137a_2019;UCP137b_2019;UCP151b_2019;UCP172a_2019;UCP172b_2019;UCP184a_2019;UCP184b_2019;UCP184c_2019	40	FALSE	271
64	UCP28a_2019;UCP28b_2019;UCP95a_2019;UCP95b_2019;UCP109a_2019;UCP109b_2019;UCP137a_2019;UCP137b_2019;UCP151a_2019;UCP151b_2019;UCP172a_2019;UCP172b_2019;UCP184a_2019;UCP184b_2019;UCP184c_2019	39	FALSE	279
65	UCP1a_2019;UCP1b_2019;UCP1c_2019;UCP5a_2019;UCP5b_2019;UCP5c_2019;UCP13a_2019;UCP13b_2019;UCP13c_2019;UCP40a_2019;UCP40b_2019;UCP54a_2019;UCP54b_2019;UCP67a_2019;UCP81a_2019;UCP81b_2019	53	FALSE	263
66	PE-2a;PE-2b;PE-2c;UCP28a_2019;UCP28b_2019;UCP95a_2019;UCP95b_2019;UCP109a_2019;UCP109b_2019;UCP137a_2019;UCP137b_2019;UCP151a_2019;UCP151b_2019;UCP172a_2019;UCP172b_2019;UCP184a_2019;UCP184b_2019;UCP184c_2019	36	FALSE	286
67	PE-2a;PE-2b;PE-2c;UCP1a_2019;UCP1b_2019;UCP1c_2019;UCP5a_2019;UCP5b_2019;UCP5c_2019;UCP13a_2019;UCP13b_2019;UCP13c_2019;UCP28a_2019;UCP28b_2019;UCP40a_2019;UCP40b_2019;UCP54a_2019;UCP54b_2019;UCP67a_2019;UCP81a_2019;UCP81b_2019;UCP95a_2019;UCP95b_2019;UCP109a_2019;UCP109b_2019;UCP137a_2019;UCP137b_2019;UCP151a_2019;UCP151b_2019;UCP172a_2019;UCP172b_2019;UCP184a_2019;UCP184b_2019;UCP184c_2019	35	FALSE	288
